bodeca jĩno,"güío, anaconda de guaracú (especie de anaconda o boa)."
bode cũ ua,helicóptero.
bode dʉrʉa ʉ,"guaracú (bras. especie de pez rayado, 6 cm. de largo, bueno para comer). Leporinus agassizii. 42 Es rayado. pl. ode dʉrʉa bode dʉrʉa ʉ guaracú"
bode rijo,"frutas ivapichunas bode rijo (reg. comestibles). sing. no hay singular. V. toa, toʉ."
boeagʉ guu,"morrocoy (tortuga terrestre). O. Chelonia, Geochelone spp."
boeana,animales terrestres.
boe jĩno,"especie de boa (uso: se dice menos que aca jĩno). C. constrictor, Boa constrictor. sinón. maca jĩno."
boejʉ,"lugar retirado del río, a poca distancia del río, arriba del río."
bogare,cansarse (por esfuerzo físico).
bogareare,"estar) agotado, agotada (personas, animales)."
bogarocacoare,"estar) agotado, agotada (una persona, un animal)."
bogayayicoare,"estar) agotado, agotada (persona, animal). sinón. bogarocacoare."
bogose,"sentirse cansado, cansada; tener cansancio."
bojaĩare E,"ã oĩare J v.t. desear, querer, codiciar (cosa, persona)."
"bojare E, YM","ãmore J v.t. querer, necesitar."
"ĩi bojase E, YM","ĩi ã ose J sus deseos, lo que él quiere (uso: tiempo presente, generalmente requiere pronombre posesivo)."
bojarẽ ore E,ã orẽ ore J v.t. querer más (de lo que le dan).
bojarẽtore E,"ãmogodare J v.t. querer más (que otras cosas, personas, etc.). —s.v.inan. lo más querido."
bojere,"rajar en pedazos (leña, palo, canoa, palma de mirití, patabá)."
bojereare,"cavar, excavar (pedazos de madera de una canoa con hacha). 43 Cõ ea rãca bojereagʉ ya i. Él está excavando con el hacha."
bojo,"1 inayá (bras. frutas de la palma de inayá). sing. bojoa. pl. bojo, bojoari. V. bojoño, rutere. 2 palmas de inayá."
bojojotia,retoño nuevo de la palma de inayá.
bojonebʉare,"avergonzarse, sentir vergüenza (por lo que el otro ha hecho)."
bojoneoro bʉjare,"o ónẽ õ e J] v.i. apenarse, darse pena o vergüenza."
bojoneose,cosas vergonzosas (lo que hace vergüenza).
bojonere,"1 darse pena o vergüenza, tener pena. 2 (estar) avergonzado, avergonzada (por o de). V. ojone ʉare, bojoneoro ʉjare, bojoneyesore. —s.v.inan. vergüenza."
bojonesãare,echar la culpa a otra persona (para no tener la pena).
bojoneyesore,"o ónẽ d esó J] v.t. sentir compasión por otro y ayudarle, tener compasión de otro y ayudarle."
bojoño,palma de inayá (bras.).
bojoritaare,prevenir (enfermedad por los ritos del payé).
bojoriwii,sitio de la tristeza.
bojorʉcʉ,"especie de yuca brava. V. quĩ , rujarʉcʉ."
bojose,estar) bajo (nivel de agua).
borea,"an.s.plural hormigas borea (especie de hormiga incomible, roja y pequeña, a ellos les gusta comer el pescado y comidas dulces)."
boro boro,sonido de caída de fruta de un árbol. sinón. poto poto. wewo borore tocar carrizos y danzar
borore,tocar los carrizos y danzar. 44 Francisco. sinón. borowaare. V. wewo.
borowaare,tocar (los carrizos y danzar). sinón. borore.
bose,"inan.s.de masa coca para fortalecerse en un trabajo futuro. 1 preparar coca (para fortalecerse antes de trabajar o viajar). 2 comer, mambear coca (para fortalecerse antes de trabajar o viajar)."
bosio,"especie de pez anguila (comestible, de color gris, se encuentra en el río Pirá-Paraná y sus afluentes)."
boso,"tintín (reg.), acuchí (especie de roedor comestible como la guara o agutí, pero más pequeño, tiene cola cortica). Myoprocta acouchy."
boso betaʉ,especie de árbol (utilizado para la leña).
bota,"inan., cl.irreg. poste, estantillo de la casa."
bota guji,cajas de postes.
botigʉjeʉ,árbol botigʉjeʉ (especie grande cuya savia blanca se utiliza para alumbrar).
botise,"ser/estar) blanco, blanca."
boti wiase,"mohosearse, enmohecerse; estar mohoso, mohosa; florecerse (alimentos). 45 carne, pescado, fariña si se moja)."
boʉ,"especie de árbol (inútil, alto de madera blanda, no tiene frutos útiles y no se le utiliza los otros productos, crece en tierra pantanosa)."
boʉ jĩco,"especie de escarabajo (comestible, con casco utilizado para las danzas)."
bucoabutu,juguete sonajero (hecho de calabazas pequeñas).
budigoore,"irse, salirse."
budire,salir.
budirotire,ordenar a salir.
bue,especie de anguila.
bueajiore,leer en voz alta.
Bue aju,"nombre del tendido del río Pirá-Paraná donde hay la comunidad llamado a “Sonaña” que a tan algunos eduria, barasanas y tatuyos. 3."
buebudire,salir de estudiar para vacaciones.
"buegʉ, buego","m., f. 1 el estudiante, la estudiante; alumno, alumna. 2 profesor, profesora; maestro, maestra. buemasiore Bueri a ʉ Eduria & Barasana – Español – 46"
buemasiore,enseñar. sinón. gotimasiore. V. gotire.
bue asirẽtobudire,"u m sĩ ẽt úd e J] v.i. graduarse, cumplir los estudios exitosamente."
bue mene,"1 guamas bue mene (especie comestible, silvestre; uso: se dice más que jĩco ene), guama fruit (edible, wild species; use: said more than jĩco ene). 2 guamos bue mene. sinón. ue meneʉ, jĩcomeneʉ."
bue eneʉ,"especie del guamo silvestre (uso: se dice más que jĩco eneʉ). pl. ue men ʉ yucʉ , ue meneʉ yucʉ r sinón. ue mene, jĩcomeneʉ."
buere,1 estudiar. 2 enseñar.
buerẽtobuure,"interpretar, explicar después de leer."
bueri,"1 nubes. 2 humo. sing. uer jʉ pl. uer , uer jʉr V. buese, jea ríobuere. bueri bʉjase negrecerse, ponerse negro (con humo)."
bueri tuase,"ahumar (casa, hamaca)."
bueriamaca,escuela.
bueriatuti,cartilla para estudiar (aprender a leer). V. buere.
bueribʉrʉa,nube redondeada (cúmulo).
buerigaseri,nubes verticales (cumuloestrato o estratocúmulo). sing. buerigasero. Bueri a ʉ el arco iris
Bueri a ʉ,arco iris. 47 ñaaja” y cama La llovizna del arco iris produce piedrillas (piedritas) en el cabello.
"bueri asʉ, bueri aso","u m s J] s.v.m., f. 1 el estudiante, la estudiante; alumno, alumna. 2 profesor, profesora; maestro, maestra."
bueriñaaroa,an.s.plural orugas bueriñaaroa (comen las hojas del uvo).
buese,"1 humear, echar humo. 2 (estar) nublado, nublada. V. bueri."
bugu,"especie de rana (comestible, de color café)."
buja,paloma. Leptotila rufaxilla.
buja sẽneʉ,especie de arbusto (utilizado para hacer batidor para revolver mingao).
bujere,exprimir (masa de yuca brava en un matafrío).
bujeʉ,especie de árbol (inútil).
bujeʉ ricaa,"frutos del árbol bujeʉ (no son comestibles/son incomibles). sing. ujeʉ r caa pl. ujeʉ r caa, ujeʉ r caar V. ujeʉ."
buji,yerno (uso: generalmente con pronombre posesivo).
"bujibacʉ, bujibaco","m., f. cuñado (uso: dicho por la mujer al hombre), cuñada (uso: dicho por el hombre a la mujer)."
buju,"cerbatanas. 48 una especie de la palma pachúa. sing. bujua. pl. buju, bujuari. V. bujuño, dʉreare, rujaa, sãari buju, wacasa, yucʉ ujua. bujubʉ E, arubʉ J cacurí, trampa de pescado"
bujubʉ E,"arubʉ J inan. cacurí (bras.), trampa de pescado (tejida de la cáscara de la palma bujuño)."
bujugasero,1 estera tejida de pachúa (ger. utilizada para guardar nueces). 2 trampa para los peces (tejida de palma pachúa).
bujujãi,"tira, listón de pachúa (ger.)."
buju ʉ,especie de avispa (que hace hueco en el suelo).
bujuño,"especie de palma pachúa (ger. utilizada para hacer cerbatanas, envases tejidas para guardar chontaduro en el río). V. bujugasero, bujujãi, sãari buju, wai bujuño."
burucutu,especie de búho (pequeño).
buruse,"granos, barros (en la piel)."
"busiyʉ E, J",busʉyʉ YM s.v.inan. mañana.
busiyʉjʉa,antes del amanecer.
busiyʉri,"pronto, algún día, en pocos días (cualquier día)."
busubatoose,echar (luz).
busugʉ,"él que ilumina (sol, luna)."
busuotuagʉ,luna relumbrante en una cierta posición al amanecer. 49
busurica,bombilla.
busurijaʉ,"busurijʉ u sú E u sú J] s.v.inan. de la madrugada, en la mañana."
busurijaʉaca,"u sú J], busurijʉaca usú s.v.inan. madrugadita, mañanita, amanecer."
Busuriñoco,"estrella matutina, estrella de la mañana."
busurocajeorijaʉ,"u sú ó o J], busurocajeorijʉ u sú o o E u sú ó ó J] s.v.an. primera luz del día, alborada, amanecer, madrugada."
bususe,"1 aclarar (el día). 2 iluminarse. V. busubatoose, busuotuase, quẽnar maa ususe. —s.v.inan. luz."
bususõorisoje,ventana (una parte donde entra la luz).
bususõorotisoje,u sú s õ ot só e J] s.v.inan. ventana (una parte donde entra la luz).
butica,"an.s.plural hormigas butica (especie que pica, incomible, pequeña con cuerpo negro)."
butua,"an.s.plural termitas, térmites o termes, comejenes butua (no comestibles). 50 butua riarã an.s.plural comejenes butua que vuelan. sing. utua r arãmʉ V. riarã."
butuajacaroca,"termitas, térmites o termes, comejenes butuajacaroca (cuyas larvas son comestibles)."
butuaroca,especie de culebra (no venenosa).
butuñimia,"an.s.plural termitas, térmites o termes, comejenes butuñimia (especie negra, no comestible). sing. utuñ m amʉ V. butua. —inan. nido negro de las comejenes butuñimia (que se encuentra sobre la tierra)."
butuquiri,especie de periquito (verde). Forpus passerinus.
buu,"agutí, chacure (reg.), guara, guatín. Dasyprocta rubrata, Dasyprocta punctata."
buu isiyasia,pelo largo en la trasera de la guara.
buu beco,"especie de mosca (grande, deposita sus huevos en los agutís, se parece a la mosca común)."
buucoa,1 especie de calabaza. 2 juguete sonajero (hecho de calabazas pequeñas). sinón. buucoabutu. buucoa especie de calabaza
buucũure,"poner afuera, sacar afuera."
buu gʉda nuria,especie de escarabajo (muy pequeño).
buu moji,inan.s.de masa especie de caraná (bras. utilizada para techar la casa).
Buuo,"carácter mítico, la hembra de Guara."
buure,hacer salir. 51
buuro,"inan., cl.irreg. cerro, colina, loma, subida."
jairibuuro,cerro grande.
mojoribuuro,"mõ ĩ úú ó J] s.v.inan. cerro pequeño, cerro bajo."
buuruari,1 sarampión. 2 rubéola o rubeola.
buurʉcʉ,yuca de guara (especie de yuca brava).
buutu,"paloma torcaza colorada. Columba subvinacea purpureotincta, berlepschi."
buuwĩjiño,"especie de palma (no produce fruto comestible, clasificada como maleza cuando se crece en la chagra)."
buuyairo,"1 zorro común, zorro del monte, zorro gris. Dusicyon thous, Cerdocyon thous, Urocyon cinereoargenteus. 2 especie de avispa (grande). Synoeca spp., (especialm.) Synoeca septentriolas, F. Vespidae."
buya,"inan.s.de masa algodón del monte, algodón de ceiba, capoc o kapok (la fibra de la vaina del árbol ceiba que se utiliza para hacer dardos). Ceiba spp."
buyaa,an.s.plural chinches (insectos pequeños y comestibles crudos o asados después de destripar el veneno en su pecho; hay varias especies nombradas por las matas donde se ubican). O. Hemípteros. buya bʉcʉ bʉbʉri Eduria & Barasana – Español – 52
buya bʉcʉ,"plumas del mochilero (utilizados en el tocado tejido de la danza). sing. no hay singular. pl. uya ʉcʉ V. maja joaro, rujabedo."
buya bʉcʉbedo,"tocado, corona de la danza (tejida de hojas de ramo para colocar las plumas de mochilero)."
buya tʉriroa,an.s.plural orugas buya tʉriroa (especie roja que alimenta de hojas de bejucos).
buyaʉ,"palo de ceiba (especie de árbol que produce algodón de monte utilizado para hacer dardos). F. Bombax, Bombacaceae, G. Ceiba pentandra."
bʉa,"tío (pariente masculino de la familia del padre, de su misma generación; uso: vocativo)."
bʉajuure,"enganchar, engafar, garfear, coger pescado, pescar."
"bʉa ʉ, bʉa o","m., f. 1 tío (pariente masculino de la familia del padre, de su misma generación), tía (pariente femenino de la familia de la madre, de su misma generación). 2 padrastro, madrastra. sinón. masorii, masorio; maso ʉcʉor , maso ʉcʉor o."
bʉare,"1 construir (casa). 2 techar. 3 tapar (olla, caja)."
bʉawasoare,construir (una casa nuevamente en el mismo sitio u otro).
bʉbʉ isi,"especie de bejuco (maleza; se parece como un arbusto con tallo leñoso, espinas, muchas ramitas saliendo de un raíz leñoso y diseminando; las ramitas tienen grupitos de hojas redondas; se encuentra en los rastrojos)."
bʉbʉri,1 fiebre y escalofríos. bʉbʉri ini bʉcʉarirodo Eduria & Barasana – Español – 53 2 paludismo.
bʉbʉri ini,"cigüeñuela (especie de ave acuática, no comestible). Himantopus mexicanus."
bʉco,"oso hormiguero, oso palmero. Myrmecophaga tridactyla."
bʉcoa,"an.s.plural termitas, térmites o termes, comejenes bʉcoa (especie de color negro que se encuentra en los árboles, los recién empollados son comestibles)."
bʉcʉ,"1 castaña de Pará, nuez de Pará. Bertholletia excelsa H. et B. 2 castaño (árbol de castañas de Pará). bʉcʉ castaña de Pará, nuez de Pará"
bʉcʉ,"bʉcʉo s.v.m., f. 1 viejo, vieja; anciano, anciana. 2 hombre grande, gordo; mujer grande, gorda."
Bʉcʉa,"cachivera (bras.), raudal, rápido (en el caño Piedra ubicado abajo del caño Bʉcʉya). V. apén. mapa2."
"bʉcʉ aca, bʉcʉoca","s.v.m., f. viejito, viejita; ancianito, ancianita."
bʉcʉa ʉjase,"crecer, desarrollarse (animal, persona). 54"
bʉcʉarirodo,tiempo de madurarse.
bʉcʉase,"1 (ser/estar) viejo, vieja (machete, radio, remo, ropa). 2 madurar. 3 crecer."
bʉcʉroa,"an.s.plural termitas, térmites o termes, comejenes butua (especie comestible con cabezas negras claras, construyen termiteros pequeños, vuelan antes de la lluvia)."
bʉcʉsa,"an.s.plural orugas bʉcʉsa (no comestibles, venenosas)."
Bʉcʉya,"caño, afluyente del caño Piedra (ubicado abajo de la cac vera llamada “Bʉcʉa”). V. apén. mapa2."
bʉjabetiase,"estar) romo, roma; estar desafilado, desafilada; sin punta; embotado, embotada; sin filo (cuchillo, machete)."
bʉjaĩare,sufrir.
bʉjare,"1 encontrar, hallar, conseguir (cosa, idea). 2 encontrarse con."
bʉjase,"ser/estar) afilado, afilada; agudo, aguda; tener buen filo."
Bʉjo,"él que hace el relámpago y el trueno. 1 trueno, tronar. 2 caer, alcanzar (un rayo)."
bʉjoarã E,"õjea J an.s.plural termitas, térmites o termes, comejenes bʉjoarã (especie comestible y negra con cabezas pequeñas, mandíbulas largas, construyen termiteros altos y salen volando del nido al anochecer). Orden de los isópteros, familia xilófagos."
bʉjoarãbo E,"õjeabo J inan. termitero de las termitas bʉjoarã (alto, de forma de una columna). 55 bʉjoarãbo E, õjeabo J termitero de las termitas bʉjoarã"
Bʉjo cũ ua,"ingl.) jet, avión de reacción (uso: lengua tradicional, indígena)."
bʉjoore,afilar.
bʉjoorii E,bʉjoriʉ J ó s.v.inan. lima.
bʉjoroa,an.s.plural cubeos (grupo indígena).
bʉjʉ,araña.
bʉjʉ waa,telaraña.
Bʉjʉjoero,"cachivera Araña (bras.), raudal, rápido (en el caño Piedra). 2."
bʉjʉjogo,"búho, mochuelo. Speotyto cunicularia, Pulsatrix persicillata."
bʉjʉre,"reproducirse, multiplicarse, aumentarse (número de personas, animales, víveres)."
bʉ e bʉ,"huy!, ¡qué bueno! (exclamación de deseo para comida rica, mujer linda, ropa buena, canoa bien hecha, etc.)."
"bʉogʉ, bʉogo J","baigʉ, baigo E s.v.m., f. 1 malo, mala (persona, animal). 2 feo, fea (persona, animal)."
bʉoore,"poner (collar), dar (collar) a otro. 56 ʉoorot jare, ĩ re ʉoom Porque yo mandé a poner las chaquiras a él, las puso. sinón. jaa ʉsare. V. ʉsare, yoore."
—s.v.inan.s.de masa,"cemento, pavimentación."
bʉose J,"baise E v.i. 1 (ser/estar) mal, malo, mala; horrible. 2 (ser/estar) feo, fea."
bʉri ñiirã,"an.s.plural grupo étnico entre los carapana. sing. ʉr ñ rãgʉ , ʉr ñ rãgõ V. dʉrʉa masa, momia, mʉtea."
bʉrʉare,"hacer bola(s) (por ejemplo, de tierra en hacer una casa)."
bʉrʉrʉ ʉjʉ,d a que nunca jamás asará” (mod smo ara el t em o del umarí maduro; uso: solamente en el cuento de la tortuga y la danta).
bʉsare,tener collar puesto.
bʉsaria gʉ ta,"piedra del payé (grande, blanca, que se cuelga del cuello del payé). pl. ʉsare gʉ ta, ʉsar gʉ tar sinón. gʉ ta. V. ʉsare, apén. dibujo del bailarín. bʉsare collares, gargantillas"
bʉsʉse,"sonar, hacer sonido."
bʉtibeti,"ser/estar) blando, blanda; suave; dúctil (metal); flojo, floja; flexible (lit. no duro)."
bʉtise,"1 (ser/estar) duro, dura; firme, fuerte (cosa). 57 ʉt se, tĩmare, tutuare. 3 (estar) quemado, quemada (comida no cocinada en agua como casabe, carne, pepas)."
bʉto,"mucho, mucha; muy."
bʉtobʉsa,"un poco más, aun más."
bʉʉse,"dormirse, entumecerse (mano, pie)."
bʉyare,empujar a otra persona con fuerza (cuerpo a cuerpo).
"caacʉ, caaco","m., f. papá, mamá; papi, mami (uso: vocativo y referencia, sirve para hablar de los padres)."
"caacʉ bʉcʉ, caaco bʉcʉo","J] m., f. papi, mami (uso: vocativo; sirve para hablar de los padres)."
cabere,"meter la mano en un líquido (olla de pintura negra, olla de agua, río) para sacar lo que está."
cabibetimaa,"camino no barroso, fangoso. antón. cabirimaa."
cabirimaa,"camino barroso, fangoso, lodoso."
cabiritata,"fango, charco (área barrosa o fangosa)."
cabise,"ser/estar) barroso, barrosa; fangoso, fangosa; lodoso, lodosa (camino, tierra, pista)."
